Link,Name,Status
https://genealogy.math.ndsu.nodak.edu/id.php?id=135,Charles Riley,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=136,David Wooten,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=137,Ryuji Maehara,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=138,Duane Abbey,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=139,Barbara Lehman,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=140,Robert Neufeld,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=141,Marvin Papenfuss,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=142,Gregory Dotseth,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=143,Kirby Keller,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=144,Thomas Lammers,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=145,Dennis Harms,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=146,Walter Will,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=147,Jau-Nan Ling,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=148,William Peterson,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=149,Anthony Ridolfo,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=150,Theordore Bambenek,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=151,Lawrence Genalo,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=152,Cheng-Chi Huang,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=153,Yen Chang,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=154,Curtis Cooper,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=155,John Cushman,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=156,Martin Strasburger,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=157,Sherwin Skar,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=158,Joseph Clifton,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=159,Kevin Hickey,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=160,Evelyn Potter,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=161,Esfandiar Eslami,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=162,John Gustafson,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=163,Gary Rockswold,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=164,Ronald Smith,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=165,Donald Steiner,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=166,Jean Johnson,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=167,Luz De Alba-Guerra,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=168,David Hoeflin,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=169,Gary Krenz,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=170,Richard Smith,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=171,Kanaka Vijitha-Kumara,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=172,Robert Dougherty,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=173,Elsayed Eltelt,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=174,Gary Buls,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=175,Kyriakos Keremedis,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=176,Mohsen Mousa,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=177,Seiyoung Chung,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=178,Robert Schmidt,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=179,Taha Abu-Kaff,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=180,Timothy Pennings,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=181,Joyati Debnath,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=182,Frank Odoom,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=183,Abdullah Tamraz,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=184,Andrew Martin,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=185,Abdelghani Mehailia,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=186,George Miliaras,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=187,Tahsin Mughrabi,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=188,Steven Nimmo,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=189,Sang Ro Park,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=190,Wael Amin,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=191,Jeffrey Anderson,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=192,Ali Babakhani,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=193,James Coyle,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=194,Cheng-Der Fuh,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=195,Abdalla Tantawy,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=196,Keng Deng,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=197,Hernando Gaitan,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=198,Jae-Heon Yun,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=199,Manickavasagar Vinayagamoorthy,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=200,Kirk Jones,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=201,Xiaorong Shen,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=202,Zhiming Sun,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=203,Tai-Yih Tso,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=204,Chao-Pao Ho,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=205,Wei-Hua Hsieh,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=206,,Invalid
https://genealogy.math.ndsu.nodak.edu/id.php?id=207,Kaisheng Fan,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=208,Frank Hummer,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=209,Kurugamega Jayawardena,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=210,Anand Medepalli,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=211,Agacik Zafer,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=212,Siomack Bondari,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=213,Tengku Fuad,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=214,Engin Haliloglu,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=215,Michael Hobart,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=216,Elizabeth Joseph,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=217,Thiagaraja Maheswaran,Valid
